filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bat,-8,64.76930854259064,69.15784388908386,68.24815747792479,69.26301294797723,71.00189645948478,70.73838502908853,68.82574725976374,68.77272916508878,68.87921289375568,70.46800980984058,70.1773353918574,64.76930854259064,61.66691811838156,60.715653521451095,60.37259715997835,61.333328966923474,61.458796809296956,60.729759565273916,60.23275202537265,62.69246542159624,61.61339992566364,61.927389131365395,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bau,-8,65.65578405170872,68.46448865035798,68.85433643589818,69.23849979831283,69.53180036604022,69.97211332644623,69.86699026796336,67.96307183346518,70.9361389813185,70.48725149842919,69.05002879237364,65.65578405170872,61.061389690465184,61.586821964109696,62.0264447598333,60.96228475314482,61.020270037606416,62.32935028212833,63.08059192177215,63.63070855661525,61.73177807660596,59.457715117807396,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bav,-8,64.94583261262252,68.94714549801745,69.0083616465298,68.89952073302095,71.10106229512742,66.69765030103102,69.24616815238367,70.51513113807368,70.46289495467994,70.62858383682982,70.10439638323898,64.94583261262252,61.81180439749229,60.201400464217045,62.309646917000514,60.438402240303425,60.684226593500924,60.266714144791145,61.54585152429294,61.410221296065,60.96413774608547,63.1287833636959,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baw,-8,65.82940735385813,71.01088690462673,69.07491951374743,69.14702434837487,69.28866301243706,68.85252229106881,69.35892282420971,69.92996711305912,70.21307905400849,68.70982316288574,68.94903686150418,65.82940735385813,61.33913927211775,60.433835011759925,61.980016563469945,63.139502002160114,61.27132377344653,61.04459002447444,60.60203490270445,63.12017794367629,62.05001570525047,60.23215222199043,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bax,-8,65.03208945453655,69.89998388768525,68.55667709259761,67.88423756200233,67.89851015969813,67.34969252469531,68.92474408132033,68.0518894126083,68.61155747075316,69.73483661094015,67.66029273970437,65.03208945453655,61.654663826061906,62.05882174415728,61.99433806594873,61.23524303361163,61.23730096281629,62.64921409118934,61.77625194299274,60.51728397719408,58.98738741124981,62.608399304801175,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bay,-8,65.15512973974427,69.60657847950826,69.52729133142073,68.2256744878639,70.4499368004806,70.06572526607843,67.99066005590375,68.70867205559905,69.11382212741526,68.08200467550363,68.99067139348875,65.15512973974427,63.664101345734615,62.27811128359608,61.23141480792648,62.3900504795415,61.10684918947382,60.716099975461844,60.59167143750518,60.989340438839044,61.87979182841575,61.92103810745726,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baz,-8,65.0656171823816,70.24044375635414,69.08558451454493,69.40120596354184,67.94325823930119,69.369138056121,69.21932229231685,69.84292441877518,67.85953917120689,72.42026473699283,68.96140607878081,65.0656171823816,60.813462919731606,62.92229258546928,62.124741651422866,62.3207152837161,61.536546971444324,61.034713046186155,61.95031033979826,62.4463833944616,62.67505048673575,60.243484600121334,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bba,-8,65.55035600756662,67.8620847894887,68.10528734076937,69.49931060929458,68.31059365467343,70.2774995598852,69.91683327483906,69.35968411040723,68.19409593756652,68.04068117786639,69.06828260183417,65.55035600756662,60.281709802639135,60.94012315906431,60.96359849544504,62.00060531783871,61.01053963544803,62.214027138028804,63.216457565161996,61.03601622018919,61.05964814811789,62.09703095962138,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbb,-8,64.21229999403671,67.99366006903573,71.3992946875039,69.40572434915838,69.5639503547188,68.47102041719377,68.27622454546214,68.77272825844935,70.14607305377861,68.94618774613909,68.99832610123096,64.21229999403671,60.20727692913208,60.024010790978366,61.399866941162756,61.11287766084267,61.661778255090304,60.894746772324496,59.384667704687224,60.59921582996132,60.56592063530743,61.5355051573195,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbc,-8,65.30098724334256,68.81433918769416,70.66514338161046,68.99108191178831,67.81177787643821,70.44383183703462,69.06450016636701,69.74353410565764,68.00634307567408,68.8498809199225,69.32460156387107,65.30098724334256,61.06204038814181,61.20080140049206,61.312568635629965,60.57888358764676,60.619384184671404,60.276559113652795,62.20564251673492,60.875454579931706,61.07806086634578,61.06904613666102,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
