filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bat,-8,62.343774154634886,67.67836475085996,66.55011234152327,66.83563237797591,68.61577059978066,67.48244847865585,66.76104375877337,67.65437048079171,67.18732459031901,67.14474759448545,68.71977270329171,62.343774154634886,59.807363144866784,58.929717279334085,58.768772312948165,58.12608751903134,59.1129314609549,58.09432887840711,59.154946029691715,60.05373129166564,56.75136390083456,58.99495243039608,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bau,-8,63.04974004537601,65.58864957015925,68.17137022056781,67.22363519148848,68.43275697363325,68.22478364008731,66.41904495881154,66.00616303541611,66.69275500672241,65.26361939069126,66.77391670417899,63.04974004537601,59.89995455170859,59.98364751938774,58.60211590154229,59.5640321970108,56.048685656286565,59.57997399267139,59.33236632983447,59.672247950277416,57.95463388423466,59.89365154897033,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bav,-8,62.95230040253554,65.34309407471605,66.89456145016369,68.20678292621763,65.5894774273501,68.02883034562608,67.56950859749519,65.59223253235385,66.08799555298692,66.7414702524631,68.53152578274732,62.95230040253554,57.46551805516872,56.90249134136073,59.953652036217505,58.16539740013272,58.95597764530529,59.16838371470646,58.84642928846525,60.92111247503126,58.98219360952865,57.50949072216075,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baw,-8,62.559566278926084,65.95382098968707,65.94921689870587,68.24721014251305,67.70021006980163,67.0176807640381,68.51266328252161,65.87915904338291,67.44891116937205,67.39588623822793,66.99402764279547,62.559566278926084,59.468707837563414,59.610961532252645,58.41968053415751,57.67315899626713,60.054927918224934,57.01389494640542,59.05550697021038,58.98663312360905,59.227048685034845,59.79273852155817,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bax,-8,62.47539935097646,67.7438711857528,69.03185018801307,66.19985291338399,67.02163085814274,67.31841361262282,66.54247753649861,64.52409902063818,67.62080563043544,68.09736530744334,67.45019521057829,62.47539935097646,58.396210924043245,61.394771623123056,58.863133232840944,59.6427857135448,59.852723683546955,60.06540883307908,59.65581191933971,59.71270870121242,58.4498756174368,59.47193960349611,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bay,-8,63.0564438056446,68.05288535074025,66.5494688063761,66.78403235383513,65.77085526936264,68.27811749615876,67.00406772538139,67.00968541267099,67.19192834795065,68.44942252468876,66.71131434108416,63.0564438056446,59.359126515238906,61.54165497829427,58.14254527606502,59.09404198766879,60.83108908454274,59.12578529280362,57.09235205878797,57.686306755771874,57.82775823427159,59.40314185513041,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baz,-8,62.39875267548919,68.38814456921065,67.71813668032063,68.32425638408435,66.77920126108899,65.38797311438499,67.37611411631703,67.63195026708226,66.64557749040999,64.34968807351267,65.32651972969805,62.39875267548919,57.61585807021885,60.683771651254226,58.993702654769656,58.65687348992971,59.50617436819008,57.765492244649515,60.450068244664976,57.845156613726864,57.013751339557906,60.56520109652481,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bba,-8,63.07603813601999,67.07311493072,68.21438117594438,66.77358302575283,66.33504542092254,67.69744503044008,66.90313585595031,67.29037737169897,67.39640398926815,66.78960105003941,67.2837255806729,63.07603813601999,59.44506685534318,55.751692893075315,59.28651836583294,59.27923776402674,58.58349645201916,60.59345175135509,59.7187475832534,58.40107149377861,59.121886860873715,58.60073936273692,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbb,-8,62.48366408085429,66.31736116112603,68.37622568762391,66.25128257961794,67.96548779750157,66.27450229765236,66.40057844548882,67.57475057159739,67.3173508726782,66.97361281274344,66.36764092065458,62.48366408085429,58.66497789693471,57.37041411077716,60.0064986614985,59.73719232504302,59.029205165951446,59.258042820138826,58.877206832257876,60.013586791779964,56.95034401778561,58.28877490808269,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbc,-8,62.87633781411904,66.52368556358766,68.03663721984336,67.5319973462033,66.06446893635045,67.39498875205173,64.11963095105527,67.11865147057611,66.42681390833692,66.4629940510259,69.98842979401083,62.87633781411904,60.34806355747705,58.14709688795843,60.180087439132656,57.641238549106596,58.44268541228119,59.715981360468085,58.602712334199666,57.76163218017571,59.536379712147834,60.09722696441649,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
