filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
bat,-8,66.46429851577955,67.69390553489893,66.95908367259791,66.24210719753818,66.95851137799775,67.2879914200988,67.73582123773967,67.33897347918004,66.95677571864678,67.39233763622742,60.26952229408924,57.65849307186396,57.48873729512145,59.59965248254643,60.56547116999152,59.159761822397485,59.0908116093318,58.61669511291748,59.046503071029356,58.86945272573568,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bau,-8,66.7615042712562,67.50051680871057,68.8576967564957,65.76481857614505,66.60728147799216,64.69085951064082,66.20365058862807,66.88534537587107,67.7601066545736,67.27916710683695,58.25385379001625,58.47438376361528,56.88637960011253,59.170645606056326,59.31080632806351,60.15488161359947,58.15176051400966,58.64520214452043,62.53643994275693,59.663919744970514,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bav,-8,67.14342992335641,67.43543476685743,66.91040778870952,66.26997386210859,66.78355599457952,66.67181620559636,66.69369256885626,66.71731279284616,66.09157303136527,65.35437009370648,58.08814599870185,60.592913231087834,58.705084376166205,57.990969433087415,60.01425398331508,58.94745342186085,60.55235329871625,58.91643427510597,58.022623953094836,58.805684566909996,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
baw,-8,67.11601035501336,66.21224500447912,65.89251298919427,66.83678707885399,66.5921082834857,65.98589945077646,67.66025271478965,67.43466365602993,66.01363136255193,67.15942003586973,58.04833085434573,59.30226870767019,58.35392359569229,59.82577203655486,57.88910133449519,59.758208940864414,59.04705992551998,58.172891138211824,59.29918456114356,59.79257157262064,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bax,-8,66.39749334895657,66.03199433540553,66.93536444440689,67.59785558904586,66.70038987786735,68.07256314572153,66.80780955008778,64.90438803447867,67.02420489166423,67.82554601860046,59.740321216016476,57.8200312414435,58.389914796579795,56.62200294777873,58.66135430987739,58.316125476004544,59.02463752119179,58.45878968889475,58.33610137134461,59.682255320220484,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bay,-8,68.39052216972206,68.10643576021633,66.89077495239442,67.68353010164597,67.25305081478623,66.4027244845746,67.96733323337884,66.96258935741737,67.1235528958756,67.77525125504508,59.69576478123128,58.40118472939568,59.13494755791039,58.437832450189596,58.89195159758396,58.348115006333714,58.0746842352931,57.87297884364968,59.45704157208176,59.4860494502846,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
baz,-8,65.59841164551523,65.30514423606287,67.53333772670462,65.42442191079896,66.41710286640652,67.0702770861531,66.65225425897057,66.72720763884995,66.23763168993665,66.65674103610098,61.377092975975245,58.11079237034147,59.038025582277704,59.79255821927295,59.6211374794548,60.0768675768255,60.23950423310846,56.64891906838565,59.147875597077366,59.28490596701369,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bba,-8,67.6095776351052,67.50143015117023,66.26833620062789,68.10886525114714,66.47280379870445,65.23761159204759,65.03480440787473,68.58277611458682,67.24383945692489,66.79343151885641,59.2766333433653,60.428987513615226,58.080019609542255,60.230571642982355,57.599479411019544,57.92625564979269,59.62629712090003,59.27878463608778,59.41765340601062,57.29326479625914,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbb,-8,66.17336399866517,67.2026543255293,67.17343231662713,66.40815285466671,66.07180692812064,66.86705948592613,67.46910877802368,66.52869976397193,69.04276776800181,67.80523435317718,58.733569138703366,57.06838559235286,59.243405589971026,59.84669530027378,58.42303342552732,57.73013424049063,59.35448362123333,59.103139382571015,58.18126782763006,59.32296267453411,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbc,-8,68.10021723268497,66.87069043781021,67.66570913817897,66.65028673058535,66.36560274037163,67.15695986785,66.90796193362016,66.9189583034048,66.8802637026634,67.52384291730397,61.564239358988225,58.75932154838705,58.08265281542061,57.97274534420034,58.529238074341954,61.177303364358416,58.85736568159365,59.9309532376811,58.9741363535931,58.79317002188483,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
